Country,FAOSTAT group,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cabo Verde,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,2.54,4.4,3.08,1,3,1,2,2,4.86,6.86,14.97,18.36,50.71,83.68,79,111.71,84,107.64,254.64
Cambodia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,13600,16600,25500,30900,36500,33800,34300,39900,42200,31800,54800,65696.97,73600,73700,73800,73804,73811,30025,21953,18406,50580,65500,58517,56613.12,59232.75,66043.76,64526.21,65246.48,54704.2,70098.07,80137.16,43231.13,42878.99,44751.66,57360.5,47465.76,47146.55,46973.96,198896.54,212775.26,361387.97,324269.46,273517.16,229519.15,301187.14,427978.87,407328.98,381225.86,413540.68,432373.33,487688.53,491683.37,514635.32,510412.55,518533.11,528370.36,541757.26
Cameroon,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,28200,24900,23700,22500,26300,31100,33200,33200,34000,27810.64,21478.79,18100,17100,13904.08,13406.61,13655.08,14237.67,9211,15534.71,18024,16556,15655,15020,10097,130,2635.69,146.54,12833,20473,19910.84,22071.01,22057,23046.65,27094.21,29673.89,32393.49,39896.3,43718.77,48865.42,54966.05,52546.89,65346.68,55418.44,65434.22,75435.52,75455.06,74948.87,75273.89,75579.32,68610.43,61613.5,54856.86,56226.15,59843.08,58951.4,37485.32,41937.99
Canada,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,57050.89,78035.61,46876.57,39493.01,43097.45,56592.76,40107.47,50160.53,52842.6,67846.12,62467.12,52872.54,52875.26,51720.44,20993.9,54513.12,68007.09,65170.78,55461.25,62162.78,62009.18,53963.38,63426.78,30830.8,61398.19,46310.26,51936.4,115114.87,130928.76,100550.91,111025.04,97203.91,71985.18,71647.7,104418.51,65129.88,73286.37,74138.62,90701.39,115984.47,95320.06,94935.4,126077.94,97024.2,88166.6,104013.72,124345.89,118948.72,134373.78,112179.86,138408.74,163676.37,188738.32,182313.05,194247.64,186538.92,195921.96
Cayman Islands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,24,18,13,6,3,1,0,1,17.36
Central African Republic,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,2000,2100,2500,2500,3000,4000,5000,5000,6000,7000,8300,8000,10000,11883,8349,10482,13032,13047,13064,13080,13094,13111,13128,13309,13288,13193,13088,13079,13082,13105,13605,13338,13580.15,13762.78,13960,14150,14354.61,14580,15207,15117,17126.54,19125,21128,23129.11,25126.54,27140,29177.78,31140,33140,35140,35158.15,32140,30140,29140,28152.31,29237.78,29286.22
Chad,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,13500,6000,6000,8000,10000,15000,6600,11600,12400,15000,18000,18500,18800,17400,13900,14631.58,16625,18312.5,18416.67,17000,14714.29,11928.57,12464.29,14282.61,15756.1,17181.42,19061.38,21154.66,22719.44,24807.69,30291.67,34940.79,39300,40902.8,42827.19,47941.26,47323.53,51300,56600,73196,74998,70000,71000,74001.59,76985.6,79007.82,81546,85018.32,87968.88,90957.48,94946.51,99941.09,119961.75,120006.93,100058.38,109989.26,107401.8
Chile,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,1,252.14,140.14,171.42,271.83,444.16,835.64,1389.25,3481.57,4020.57,9328.79,8896.16,8422.68,11294.2,20367.44,22143.24,7763.24,6515.12,7362.64,6147.39,3321.88,3623.94,2521.79,3236.18,2628.87,2381.64,2784.76,2139.2,3224.31,3564.23,7069.78,15903.2,10920.11,15528.55,14770,12642.17,24491.74
China,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,700000,700000,700000,673750,773400,769400,768800,769850,768250,886676,860036,853942,938827,940596,968430,998683,1019474,1008628,1067497,1178218,1304539,1491646,1771910,2184562,2782224,3383439,3948775.43,4420883.71,4759763,5084106,5356757,6007491.77,7218919.04,8487598.74,9688333.95,11151686.05,11605922.83,11838759.44,12162886.99,12130654.45,12992248.6,13538964.75,14112009.21,14446723.88,15524581.28,16728548.38,17470969.85,18241037.6,19489124.64,20500968.96,21240922.38,21427136.15,22739341.53,23474906.89,24301459.12,25149030.32,25333612.94
"China, Hong Kong SAR",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,11507.69,13607.69,17807.69,30536.26,30815.38,34691.21,35945.32,35108.92,33895.6,28330.77,35983.02,37173.74,37755.77,35307.08,39173.61,37418.82,35051.43,37100.32,43566.03,46671.48,49713.89,51653.83,53992.46,48002.41,45643.19,50563.44,47366.82,43879.11,42175.36,52925.58,51631.42,35495.33,25780.67,36293.72,33561.56,34576.7,47141.74,48796.42,47641.47,55309.46,54360.21,58404.4,46118.52,49080.46,38838.72,49821.65,45005.04,52112.85,60125.76,67027.84,63083.77,97815.32,112512.08,118461.03,134330.37,108009.96,97652.16
"China, Macao SAR",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22.11,3016.33,3716,3365.11,3441.65,3640.14,3679.25,135.54,155.08,3661.05,3957.3,4449.05,3892.4,4550.09,4366.47,4139.36,4249.44,3789.3,3607.58,3720.75,3908.7,4247.73,7328.59,7339.27,8615.19,8991.89,8921.34,9558.62
Colombia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,19500,21500,22500,25300,25900,28000,23700,21000,26600,33200,19300,83103.67,73100,37234,42075,51437,42174,56612,48535,46903,47719,49000,45361.46,54024,48558.08,55990.69,62152.61,50707,38763,38361.15,24955.62,48275.92,47175.08,54428.04,58785.1,53923.6,59654.12,64292.78,75803.34,82855.13,77432.87,75137.96,78751.99,74601.64,66385.52,72148.7,74725.54,76288.26,82785.42,84090.86,94593.16,148961.79,158331.64,166342.52,165575.29,174015.45,176901
Comoros,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,67,0,0,51.11,35.56
Congo,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,8071.43,7714.29,8571.43,8857.14,8357.14,8785.71,8928.57,9714.29,10142.86,8714.29,8714.29,10440,9723.33,9142.86,11285.71,9001,9001,10001,10000,11000,12000,12000,13548,13547,13600,14091,15384,19600,24133,26257,27207,21245.19,27626.65,23917.39,26267.14,26004.38,19091.71,25599.44,25454.5,25530.54,26396.83,29571.47,31477.31,32297.16,32680.28,31138.07,30405.3,29538.77,28682.19,30872.48,33571.87,38299.47,36385.74,42706.34,41440.44,43738.52,42598.65
"Congo, Dem. Rep. of the",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,79972.79,79000,66000,74923.08,72405.23,86070.06,100862.15,126619.25,134600,128790.29,117200,114500,147700,116946.42,100000,110000,104600,107600,114200,101800,102000,100000,101000,146400,146400,154500,160000,160000,164000,160000,162750,184770,193289,152767,155349,159637,159367,175920,206503.22,242911.94,230279.64,236787.28,233671.15,234929.21,233867.3,233738.33,233084.84,231155.67,229263.79,223830.9,220166.7,224091.4,234872.85,242162.84,242238.54,242757.26,251889.29
Cook Islands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.11,0,2,9.12,2,2,2,7.58,7.58,25.36,70.02,10.75,7.54
Costa Rica,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,60,61,61,100,350,400,455,523,396.31,383,383,460,487,479,561,1764,1789,3130,3797.34,4782.52,5427.98,4663.62,6354.7,7705.81,4160.74,4146.22,11389.26,15640.76,18431.23,17516.09,13842.23,20989.83,23570.79,22964.25,22651.74,23422.17,22544.55,28137.51,32331.71,31850.32,31583.04,33385.6
Croatia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906.11,2706.43,3580.02,3336.99,1938.94,2593.53,2728.38,2953.68,3196.85,3755.76,3181.24,3057.13,3394.91,4277.8,4654.16,4317.39,5414.91,6444.52,7516.76,7742.8,6342.69,5976.01,6134.84,6026.03,5196.39,5397.98
Cuba,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,923.08,461.54,0,0,0,0,100,100,200,200,100,210,550,1100,1100,1200,2300,4300,5819,8895,11850,12876,14852,15539,15839,16731,14850,17959,21971,20204,23743,21831,24621,28962,44709,41876,40707,41967.82,31843.7,24836.74,25958.82,26984.84,28727.7,21072.54,23435.9,36054.48,35217.57,33945.1,29022.38,22609.02,24054,26661.86,28581.75,29411.59,26226.68,27701.33
Curaçao,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.42,322.36,369.15,184.53,215.91,351.14,65.06
Cyprus,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,31,31,31,31,31,36,46,69.14,81.86,80.71,81.71,59.43,79.71,492.8,652.99,544.22,469.76,523.97,371.14,533.99,420.08,372.53,379.02,493.12,354.16,567.41,760.49,720.74,1221.99,1323.03,1961.37,2768.06,3721.29,4696.42,6103.82,6566.89,6241.62,6166.27,6554.75,6333.26,6359.85,5775.46
Czechia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14336.18,10318.12,14041.55,14557.86,14929.88,13673.33,16565.79,17032.57,16936.52,17111.49,19072.88,18391.58,20900.76,22559.72,26811.92,38304.42,43299.48,38261.21,36366.59,30790.64,31697.15,29118.25,28988.8,26632.97,26552.19
Czechoslovakia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,10733.69,10722.69,10396.69,11381.69,12005.69,12525.69,12627.85,14649.69,14937.69,14440.16,15120.65,16675.12,16676.64,16946.91,18053,18425,19011,18042,17668,16810,17671,19084,20486,23188,23813,25534,25253,25637,25232,26630,26346,28485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,12526.81,7985.39,9423.96,6586.81,13301.1,14714.29,12739.67,13926.81,15875.71,16953.96,13785.71,10286.43,6245.43,5911.71,9028.57,6649,3954.43,3514.43,13683.43,17341.86,18114.43,20457,20732.71,20600,24608,26816.71,25516.14,27248.71,30314.14,20608.71,21201.86,14567,13178,15523,11509,12828.08,12800.22,13671.01,11934.32,11863.48,11220.3,21402.73,21984.05,6295.38,14561.46,7819.81,5010.3,6926.12,7492.73,8384.79,9853.06,11455.65,11188.59,12413.22,45537.86,66396.78,64112.69
Denmark,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,4053.85,2953.85,2907.69,3507.69,4007.69,8407.69,9807.69,10707.69,4420,2000,7133.33,3866.67,4811.14,2914.33,2957.92,2217.82,2158.75,2417.69,1921.8,2545.16,1406.05,1725.87,2833.75,2180.08,5000.64,1495.21,1808.29,7941.8,8820.89,11663.28,13853.61,11008.89,8278.89,16263.14,22973.31,22138.82,7252.64,8906.5,8922.14,17217.96,11538.31,5983.85,8548.38,14079.18,23207.17,18383.96,12002.68,21197.28,14552.89,13104.51,7981.37,8307.57,8530.8,10350.56,8673.36,8628.64,12429.98
Djibouti,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,7.94,1.54,0,0,0,3.08,74.81,0,8.57,1.54,7.47,20.01,24.86,5.71,2.86,21.76,10.11,15.11,23.61,31.43,19.64
