MPI country name,FAO country name,Group of species (Name),Unit (Name),prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,cons_2004,cons_2005,cons_2006,cons_2007,cons_2008,cons_2009,cons_2010,cons_2011,cons_2012,cons_2013
Trinidad and Tobago,Trinidad and Tobago,Freshwater & diadromous fish,Tonnes,25,25,25,40,69,49,26,19,6,7,804.08,930.76,616.99,555.29,617.6,619.96,565.29,597.77,1114.97,1117.93
Tunisia,Tunisia,Freshwater & diadromous fish,Tonnes,1855,1984,2062,2039,2150,2115,2026,1577,1760,1776,2012.29,2076.01,2092.68,2142.79,2380.38,2431.12,2167.27,1690.24,2183.96,2146.18
Turkmenistan,Turkmenistan,Freshwater & diadromous fish,Tonnes,15007,15025,15025,15025,15025,15025,15025,15025,15025,15029,14517,14921.6,14926,14948.2,14941.33,15040.66,15045.1,15068.55,15073.52,15132.65
Uganda,Uganda,Freshwater & diadromous fish,Tonnes,377326,427573,399489,482609,455750,488654,508805,523128,503544,517312,300802.38,333334.12,314930.97,407906.88,393068.5,437014.94,456858.22,479922.4,452465.78,468185.7
Ukraine,Ukraine,Freshwater & diadromous fish,Tonnes,37654,46354,34165,49190,38036,37860,34622,41690,33261,58268,43997.79,58598.12,46709.22,70674.87,74140.95,61889.12,52726.66,68841.55,71948.64,100670.11
Vanuatu,Vanuatu,Freshwater & diadromous fish,Tonnes,1,1,92,13,20,37,80,43,43,369,25.61,66,101.69,22.9,36.74,53.31,101.14,96.2,39.84,94.42
Viet Nam,Viet Nam,Freshwater & diadromous fish,Tonnes,956187,1149500,1350345,1718100,2077000,2134000,2185280,2245900,2470400,2553503,804484.2,893936.2,777240.2,1129292.1,1146409.4,1320745.2,1380695.9,1307833.1,1233648,1219236.4
Yemen,Yemen,Freshwater & diadromous fish,Tonnes,0,0,0,0,0,0,0,0,0,0,56.92,408.62,2297.04,1041.11,203.82,819.54,400.24,993.31,828.46,372.5
Zambia,Zambia,Freshwater & diadromous fish,Tonnes,72850,71052,65446,79418,85043,93221,86686,79894,89202,106798,71202.21,68010.65,64823.73,78835.76,79838.53,91332.41,85633.77,79852.79,95151.05,118546.28
Zimbabwe,Zimbabwe,Freshwater & diadromous fish,Tonnes,13505,12922,13000,13050,13152,13202,13282,18182,18590,20590,16754.65,11927.36,11596.55,11730.67,11594.09,14095.13,20468.69,29149.41,26811.32,29353.33
