"Land Area","Ocean Area","Unit","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"New Caledonia","Inland waters","t","3","F","3","F","3","F","3","F","3","F","3","F","3","F","3","F","0","0","0","0","1",""
"New Zealand","Inland waters","t","752","","729","","1517","","1665","","2279","","1928","","2001","","2499","","2299","","2474","","2769",""
"Nicaragua","Inland waters","t","2376","","2446","","1333","","987","","704","","772","","958","","648","","459","","507","","384",""
"Nicaragua","Inland waters","no","134","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Niger","Inland waters","t","30000","","29954","","40070","F","53258","","46600","","45200","","47329","","27300","","34892","","25545","","31392",""
"Nigeria","Inland waters","t","447620","","438567","","493917","","522409","","565907","","618205","","667697","","654601","","684359","","716149","","683421",""
"North Macedonia","Inland waters","t","1453","","1762","","1727","","1636","","1555","","1674","","1496","","1341","","1108","","1595.4","","1499.3",""
"Northern Mariana Is.","Inland waters","t","6","F","6","F","4.53","","4.53","","6","F","11","F","19","F","19","F","19","F","19","F","19","F"
"Norway","Inland waters","t","576","","454","","525","","519","","580.1","","437","","396.5","","493.77","","470.4","","521","","437.7",""
"Oman","Inland waters","t","0","0","0","0","0","0","1","","3","","3","","5.4","","20","","33","","77.248","","101.45",""
"Pakistan","Inland waters","t","243000","F","250355","F","255348","F","260053","","262964","","271163","","276501","","283511","","293195","","296555","","300184",""
"Palestine","Inland waters","t","65","","115","","242","","148","","179","","115","","34","","36","","30","","35","","279",""
"Panama","Inland waters","t","3605","","2325.38","","2728.53","","1944.2","","1921.6","","1038.2","","629","","494.32","","745.4","","600.36","","2088.8",""
"Panama","Inland waters","no","2205","","995","","3556","","300","","400","","812","","2622","","2000","","7371","","6630","","1891",""
"Papua New Guinea","Inland waters","t","14600","F","14850","F","15050","F","15110","F","15110","F","15110","F","15110","F","15220","F","15220","F","15200","F","15200","F"
"Papua New Guinea","Inland waters","no","31029","","30750","","33620","","17218","","23363","","23976","","22090","","38395","","22048","","11569","","8288",""
"Paraguay","Inland waters","t","21850","F","21200","F","20757.42","F","21929.06","F","21800","F","22350","F","22800","F","23181","F","22600","F","24180.997","","24535.998",""
"Paraguay","Inland waters","no","0","-","0","-","0","-","0","-","2473","","12331","","4539","","4594","","1000","","0","-","0","-"
"Peru","Inland waters","t","60399","","60557","","61688","","60374.35","","63164.3","","67369.22","","63365.05","","83257","","80858.18","","89685.66","","80863.12",""
"Philippines","Inland waters","t","490550","","494934","","493701","","498833","","505858","","519784","","512810","","506566","","459509.03","","477582.4","","485571.7",""
"Philippines","Inland waters","no","20","","892","","0",".","200","","2758","","3275","","9369","","9532","","7141","","1581","","8760",""
"Poland","Inland waters","t","55750","","55301","","49259","","48027","","50955","","53915.13","","58798.69","","55347","","56693","","56885.77","","61562.335",""
"Portugal","Inland waters","t","304","","252","","952.5","","1115","","479.6","","775.926","","755.179","","890.935","","677.73","","655.65","","793.26",""
"Puerto Rico","Inland waters","t","22","F","21","F","17","F","20","F","20","F","19.92","","20","F","20","F","20","F","20","F","20","F"
"Qatar","Inland waters","t","36","","36","","36","","36","","36","","56","","56","","10","","10","","10","","10",""
"Romania","Inland waters","t","17498","","16819","","11438.32","","11068.96","","13145","","13730","","14692.75","","15450.928","","18417.39","","18243.2","","15732.45",""
"Russian Federation","Inland waters","t","332075","","359624","","377717","","368537","","397614","","391891","","393203","","423114","","446761","","433305","","438074",""
"Russian Federation","Inland waters","no","1477","","1110","","2069","","28","","1306","","1777","","552","","1449","","1631","","2084","","1765",""
"Rwanda","Inland waters","t","11647.25","","11612.3","","13100.3","","17259.33","","19485.98","","23555.2","","26663","","30954.2","","26593","","28357","","29105","F"
"Réunion","Inland waters","t","110","F","100","F","100","F","85","F","85","F","85","F","60","F","60","F","60","F","10","F","10","F"
"Saint Kitts and Nevis","Inland waters","t","1","F","1","F","1","F","1","","1","F","1","F","1","F","1","","1","","1","F","0","0"
"Saint Lucia","Inland waters","t","0.24","","0.26","","5.5","","10.9","","13","","18.3","","15.6","","23.8","","27.14","","13.45","","15","F"
"Samoa","Inland waters","t","4","F","6","F","6","F","6","F","5.6","","2.817","","3.781","","14.34","","11","F","10.82","","13.629",""
"Saudi Arabia","Inland waters","t","3753","","3975","","3459","","4527","","4975","","5614","","6060","","5280","","7590","","7600","F","7600","F"
"Senegal","Inland waters","t","37229","","35737","F","34188.6","F","33571.365","F","34331.1","F","33649.8","F","30547","F","30526","F","31872.6","F","33753.5","","32225",""
"Senegal","Inland waters","no","1","","0","-","0","-","0","-","0","-","0","-","0","-","7","","7","","0","-","0","-"
"Serbia","Inland waters","t","10686.72","","11286.44","","13002.33","","13012.95","","12459.19","","10975.54","","10761.37","","10537","","8944.66","","7278.65","","9420.7",""
"Sierra Leone","Inland waters","t","8050","F","7075","F","6075","F","5075","F","4075","F","3075","F","2194","","2185","F","2185","F","2185","F","2185","F"
"Singapore","Inland waters","t","283","","281","","403.3","","838.334","","1113.283","","1018.273","","809.8","","1060.755","","1029.987","","818.708","","853.829",""
"Singapore","Inland waters","no","1877","","1086","","1217","","1659","","3793","","2859","","2979","","1971","","5739","","150","","244",""
"Slovakia","Inland waters","t","2726","","2595.9","","2310.4","","2769.5","","3255.56","","3092.2","","3174.66","","3279.63","","4034.65","","4516.264","","4161.41",""
"Slovenia","Inland waters","t","1224","","1094","","828.1","","1073.9","","951.3","","1000.7","","1049.7","","1099.9","","1306.7","","1145.7","","1383.2",""
"Solomon Islands","Inland waters","t","0","0","1","F","1","F","1","F","2","F","2","F","2","F","2","F","2","F","0.529","F","0.206",""
"Somalia","Inland waters","t","200","F","200","F","200","F","200","F","200","F","200","F","200","F","200","F","200","F","200","F","200","F"
"South Africa","Inland waters","t","2472","","2121","F","2041.6","","2359.8","","2565.62","","2727","F","2705","F","2739","F","2777","F","2584.14","","2882.3",""
"South Africa","Inland waters","no","40197","","24988","","47267","","30695","","70899","","74232","","121021","","59638","","37973","","64053","","40940",""
"South Sudan","Inland waters","t","0",".","0",".","0",".","0",".","37020","F","37020","F","37020","F","37020","F","35020","F","33020","F","32020","F"
"Spain","Inland waters","t","28281","","24959.568","","23929","","23115.47","","22775.66","","22300.14","","21536.903","","22641.75","","23826.302","","23357.388","","16931.3",""
"Sri Lanka","Inland waters","t","49672","","50539","","56957","","67283","","74442","","93307","","104792","","91434","","98335","","105203.19","","109445",""
"Sudan","Inland waters","t","0",".","0",".","0",".","0",".","36500","F","36200","F","36500","F","38251","","39000","F","44084","","48000",""
"Sudan (former)","Inland waters","t","64700","F","68000","","68000","F","68000","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Sudan (former)","Inland waters","no","0",".","0",".","20","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Suriname","Inland waters","t","350","F","420.56","","560","","590","F","620","F","650","","726.72","F","841.47","F","935.7","","925","F","925","F"
"Sweden","Inland waters","t","5630","","5548","","8347","","10201","","10890","","20705","","18342","","17593","","18498","","16827","","13484",""
"Switzerland","Inland waters","t","3300","","3433","","3362","","3564","","3474","","3600","","3576","","3616","","3584","","3665","","3296",""
"Syrian Arab Republic","Inland waters","t","12379","","12197","","12289","","10750","F","9200","F","6800","F","5600","F","4900","F","5000","F","4850","F","4850","F"
"Taiwan Province of China","Inland waters","t","161225","","146392","","148193","","141700.485","","150312","","152853.23","","146811.35","","132705.14","","119105.894","","118091.51","","122756.99",""
"Taiwan Province of China","Inland waters","no","34","","27","","30","","31","","33","","37","","32","","36","","32","","27","","23",""
"Tajikistan","Inland waters","t","406","F","790.1","F","1207.2","","1380","","988.8","","1582.9","","1617.6","","1626","F","1539","F","1575","F","1580","F"
"Tanzania, United Rep. of","Inland waters","t","281703","","288140","","293252","","291183.7","","317861","","317996","","281944","","313438","","316349","","342185","","327028",""
"Tanzania, United Rep. of","Inland waters","no","1784","","790","","601","","1702","","1209","","1379","","1287","","1294","","1294","","1290","","1291",""
"Thailand","Inland waters","t","751063","","728735","","641678","","609059.43","","673682","","646058","","596879","","595629","","605323","","605886","","608484",""
"Thailand","Inland waters","no","41669","","26119","","31513","","34878","","34101","","41255","","33962","","34264","","21283","","16192","","20043",""
"Timor-Leste","Inland waters","t","46","F","41","F","48","F","55","F","62","F","68","F","74","F","81","F","89","F","94","F","104","F"
