"Land Area","Ocean Area","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Philippines","Inland waters","311059","","308490","","308295","","306932","","310054","","318810","","299274","","303200","","299894.03","","315039.4","","322598.7",""
"Poland","Inland waters","36813","","36503","","30751","","29037","","32261","","35208.13","","40109.69","","36971","","38300","","38799.77","","43361.335",""
"Portugal","Inland waters","304","","252","","951.5","","1115","","478.6","","774.926","","752.179","","889.935","","675.73","","654.65","","790.26",""
"Puerto Rico","Inland waters","22","F","21","F","17","F","20","F","20","F","19.92","","20","F","20","F","20","F","20","F","20","F"
"Qatar","Inland waters","36","","36","","36","","36","","36","","56","","56","","10","","10","","10","","10",""
"Romania","Inland waters","12532","","13131","","8981.32","","8351.96","","9995","","10130","","10642.75","","10986.928","","12529.39","","12798.2","","12298.45",""
"Russian Federation","Inland waters","115234","","113487","","114734","","119397","","135009","","129774","","138349","","138024","","153871","","162816","","169132",""
"Rwanda","Inland waters","60.25","","60.3","","100.3","F","265.33","","505.98","","1165.2","","1504","","1620.2","","1580","","3357","F","5128",""
"Réunion","Inland waters","110","F","100","F","100","F","85","F","85","F","85","F","60","F","60","F","60","F","10","F","10","F"
"Saint Kitts and Nevis","Inland waters","1","F","1","F","1","F","1","","1","F","1","F","1","F","1","","1","","1","F","0","."
"Saint Lucia","Inland waters","0.24","","0.26","","5.5","","10.9","","13","","18.3","","15.6","","23.8","","27.14","","13.45","","15","F"
"Samoa","Inland waters","3","F","5","F","5","F","5","F","4.6","","1.817","","2.781","","13.34","","10","F","9.82","","12.629",""
"Saudi Arabia","Inland waters","3753","","3975","","3459","","4527","","4975","","5614","","6060","","5280","","7590","","7600","F","7600","F"
"Senegal","Inland waters","29","","37","","24.6","","162.365","","145.1","","326.8","","502","","523","","620.6","","291.5","","222",""
"Serbia","Inland waters","7533.72","","7440.44","","8195.33","","7628.95","","7661.19","","5935.54","","7168.37","","7387","","6877.66","","5069.65","","7338.7",""
"Sierra Leone","Inland waters","50","F","75","F","75","F","75","F","75","F","75","F","75","F","85","F","85","F","85","F","85","F"
"Singapore","Inland waters","283","","281","","403.3","","838.334","","1113.283","","1018.273","","809.8","","1060.755","","1029.987","","818.708","","853.829",""
"Slovakia","Inland waters","1071","","834.9","","702.4","","834.5","","1310.56","","1106.2","","1230.66","","1308.63","","2168.65","","2646.264","","2224.41",""
"Slovenia","Inland waters","1041","","930","","659.1","","901.9","","790.3","","846.7","","900.7","","958.9","","1161.7","","1003.7","","1254.2",""
"Solomon Islands","Inland waters","0",".","1","F","1","F","1","F","2","F","2","F","2","F","2","F","2","F","0.529","F","0.206",""
"South Africa","Inland waters","1572","","1221","","1141.6","","1459.8","","1665.62","","1827","F","1805","F","1839","F","1877","F","1684.14","","1982.3",""
"South Sudan","Inland waters","0",".","0",".","0",".","0",".","20","F","20","F","20","F","20","F","20","F","20","F","20","F"
"Spain","Inland waters","22281","","18959.568","","17929","","17115.47","","16775.66","","16300.14","","15536.903","","16641.75","","17826.302","","17357.388","","10931.3",""
"Sri Lanka","Inland waters","5172","","3979","","4547","","7723","","5492","","26397","","29042","","24134","","24405","","23333.19","","21755",""
"Sudan","Inland waters","0",".","0",".","0",".","0",".","7500","","6500","","6000","","7000","","6000","","9000","","10000",""
"Sudan (former)","Inland waters","1800","F","2000","F","2000","F","2000","F","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"Suriname","Inland waters","0","-","0.56","","0","-","0","-","0","-","0","-","6.72","","51.47","","70.7","","75","F","75","F"
"Sweden","Inland waters","4016","","3984","","6979","","8716","","9398","","8542","","8660","","8576","","11005","","9923","","6816",""
"Switzerland","Inland waters","1216","","1249","","1261","","1466","","1471","","1593","","1593","","1593","","1733","","1733","","1743",""
"Syrian Arab Republic","Inland waters","8595","","8697","","8610","","7500","F","6200","F","4000","F","3000","F","2500","F","2500","F","2350","F","2350","F"
"Taiwan Province of China","Inland waters","161027","","146233","","148116","","141610.485","","150247","","152756.23","","146777.35","","132599.14","","119016.894","","115468.51","","119019.99",""
"Tajikistan","Inland waters","26","","255.1","","517.2","","537","F","274.8","","403.9","","443.6","F","450","F","439","F","475","F","480","F"
"Tanzania, United Rep. of","Inland waters","12","F","82","","209","","220.7","","2916","","2989","","3011","","3514","","4310","","11010","","14800",""
"Thailand","Inland waters","522463","","521879","","432378","","384351.43","","454254","","435765","","415124","","411528","","418023","","413263","","412284",""
"Timor-Leste","Inland waters","46","F","41","F","48","F","55","F","62","F","68","F","74","F","81","F","89","F","94","F","104","F"
"Togo","Inland waters","107","","107","","100","","20","F","20","","23","","25","","58","","98","","132","","290",""
"Trinidad and Tobago","Inland waters","12.69","","27.36","","13.5","","5.75","","6.55","","7.55","","5.45","","23.8","","11.1","","7.45","","7.45",""
"Tunisia","Inland waters","1117","","1204","","1144","","879","","970","","998","","1034","","1205","","1046","","1430","","881",""
"Turkey","Inland waters","66557","","76248","","78568","","100446","","111557","","123018.5","","108239","","101455","","101601","","104010","","105167",""
"Turkmenistan","Inland waters","26","F","26","F","26","F","26","F","26","F","30","F","30","F","30","F","55","F","60","F","70","F"
"Uganda","Inland waters","52250","F","76654.1","","95000","F","85712.7","","95906","","98063","","111023","","117590","","118051.2","","112343.6","","103737",""
"Ukraine","Inland waters","23927","F","23542.3","F","22615.5","F","23074.8","F","23049.4","F","22177.7","F","23447","","21271.3","","21424.6","","20168.2","","18595.43",""
"United Arab Emirates","Inland waters","21","","28","","16","","20","","30","","120","F","148","F","150","F","78.9","","258","","258","F"
"United Kingdom","Inland waters","10560","","13201.3","","12994.3","","11858.2","","13345.1","","11159","","11468.65","","10721.067","","10641.226","","10833.03","","10901","F"
"United States of America","Inland waters","324905","","300448","","300646","","241334","","229185","","245663","","237297","","243462","","250783","","249445","","264498",""
"Uruguay","Inland waters","36","","54.41","","84.97","","77.82","","91.232","","217.86","","215","F","203.828","","69.653","","59.979","","101.774",""
"US Virgin Islands","Inland waters","10","F","10","F","10","F","10","F","10","F","10","F","7.64","","8","F","8","F","8","F","8","F"
"Uzbekistan","Inland waters","4100","F","5162","","6654","F","8722.3","","14832.9","","23835.2","","29275.8","","36896.4","","38054.7","","52450","F","57384","F"
"Vanuatu","Inland waters","20","F","36.75","","79.5","","43","","43.38","","66.781","F","65.098","F","3.537","","4.545","","7.047","","6.205",""
"Venezuela, Boliv Rep of","Inland waters","2759.1","","4356","","4855","","5807","","6535","","6830","F","8224.42","","5283","","4529","","4495","F","4495","F"
"Viet Nam","Inland waters","1778220","F","1829800","","2054035","","2137413","F","2386821","","2399251","","2290728","","2354295.43","","2414545.06","","2541524.94","","2787850",""
"Zambia","Inland waters","5640","","8505","","10290","","10530","","12988","","20271","","19281","F","22754","","21600","F","21567.1","","24300","F"
"Zimbabwe","Inland waters","2652","F","2702","F","2782","F","7682","F","8090","F","10090","F","10600","F","10600","F","10085","","10300","F","10585","F"
